filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2000,2004,ZAR,ARB/00/8,Ridgepointe Overseas Developments Ltd. v. Democratic Republic of the Congo and Generale des Carri??res et des Mines,NA,-999,NA,NA,GBR,Discontinued,NA,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Mining (cobalt and copper),MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2004,MEX,n.a.,GAMI Investments v. United Mexican States,0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (sugar),AGR,US$27.8m,27.8,yes,0,0,n.a.,n.a.,n.a.,n.a.
2001,2004,CHL,ARB/01/7,MTD Equity Sdn. Bhd. & MTD Chile SA v. Chile,0,3,1,2,MYS,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Chile-Malaysia BIT,Real estate (residential and commercial),RE,"Approximately US$20m, plus interest",20,yes,"US$5871322.42, plus compound interest (from 5 Nov 1998 until payment, at LIBOR rate on 5 November of each year). Each party to pay their legal costs and costs of arbitration split.",5.9,yes,2004,2007,upheld
2002,2004,ECU,UN3467,Occidental Exploration and Production Company v. Republic of Ecuador,0,0,NA,NA,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,LCIA,Ecuador-United States BIT,Oil and gas (exploration),OIL,"US$201,563,930",201.6,yes,"US$71533649, plus simple interest (of US$3541280 to 1 January 2004), plus simple interest (of 2.75% to date of award). Each party to pay their legal fees. Respondent to pay 55% of Claimant's cost of arbitration.",75.1,n.a.,n.a.,n.a.,n.a.
2003,2004,EGY,ARB/03/11,Joy Mining Machinery Limited v. Arab Republic of Egypt,0,0,NA,NA,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Kingdom BIT,Mining (phosphate),MIN,"UK??2.5m, plus interest and the full value of the bank guarantees if not released",4.5,yes,0,0,yes,2005,2005,discontinued
2004,2004,IDN,ARB/04/3,Cemex Asia Holdings Ltd v. Indonesia [Brought by Singaporean subsidiary of Cemex SA de CV (Mexico)],0,0,NA,NA,SGP,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Contract, ASEAN Agreement for the Promotion and Protection of Investments (1987)",Manufacturing (cement),MFG,Approximately US$400m,400,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2004,KAZ,122/2001,CCL Oil v. Kazakhstan,0,2,NA,1,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Kazakhstan-United States BIT,Oil and gas,OIL,?_178892338,190,yes,0,0,n.a.,n.a.,n.a.,n.a.
2000,2004,MEX,ARB(AF)/00/3,Waste Management v. United Mexican States (2nd case),0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Waste management,SER,"Not less than US$36m, plus costs",36,yes,0,0,no,n.a.,n.a.,n.a.
2001,2004,PAK,ARB/01/13,SGS Societe Generale de Surveillance SA v. Islamic Republic of Pakistan,0,0,NA,NA,CHE,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Pakistan-Switzerland BIT,Consulting services (testing and verification),SER,"US$112268430.49 plus damages (to be quantified later) for alleged harm to reputation, plus interest and costs",112.3,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1997,2004,SVK,ARB/97/4,"Ceskoslovenska Obchodni Banka, a.s. v. Slovak Republic",0,0,NA,NA,CZE,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Czech Republic-Slovak Republic BIT,Finance (debt instruments),FIN,"Slovak Crowns 40.3 billion, plus interest",1400,yes,"Slovak Crowns 24796381842.00 plus 24796381842.00 in interest (plus US$ 10,000,000 in legal fees for claimant) ??this says 10 million USD in legal fees?!?",800,no,n.a.,n.a.,n.a.
1999,2004,ZAR,ARB/99/7,Patrick Mitchell v. Democratic Republic of the Congo,1,-999,NA,NA,USA,investor,0,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Congo (Democratic Republic of)-United States BIT,Legal services,SER,unknown,unknown,yes,"US$775k, plus interest and legal costs",0.8,yes,2004,2006,overturned
2001,2004,RUS,"Docket Nos. 02-9237(L), 02-9272(CON)",Compagnie Noga D'Importation Et D'Exportation S.A. v. The Russian Federation,NA,0,NA,NA,CHE,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Contract with host state,Banking,FIN,US$800m,800,yes,US$27m,27,n.a.,n.a.,n.a.,n.a.
2003,2005,ARG,ARB/03/12,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) SA & Pioneer Natural Resources (Tierra del Fuego) SA v. Argentine Republic",0,3,1,2,USA,settlement,1,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2005,CAN,n.a.,Contractual Obligations Productions LLC et al v. Canada,NA,3,1,2,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,"Television production (program for AMC called ""The Wrong Coast"")",SER,US$20m,20,yes,"settlement, but no indication of award",settlement,n.a.,n.a.,n.a.,n.a.
2003,2005,GHA,(PCA Case No. 2003-03),Telekom Malaysia v. Ghana,NA,1,0,0,MYS,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Ghana-Malaysia BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,n.a.,Erste Bank Der Oesterreichischen Sparkassen AG v. India,NA,3,1,2,AUT,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Austria-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,n.a.,BNP Paribas v. India,NA,3,1,2,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,n.a.,Credit Lyonnais SA (now Calyon SA) v. India,NA,3,1,2,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,n.a.,"Offshore Power Production CV, Travamark Two BV, EFS India-Energy BV, Enron BV, & Indian Power Investments BV (Netherlands) v. India",NA,3,1,2,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-Netherlands BIT,Electric power concession,UTL,Over US$4b,4000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,n.a.,Credit Suisse First Boston v. India,NA,3,1,2,CHE,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-Switzerland BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,n.a.,ANZEF Ltd. V. India,NA,3,1,2,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-United Kingdom BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,n.a.,Standard Chartered Bank v. India,NA,3,1,2,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-United Kingdom BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2005,LBN,n.a.,France Telecom v. Lebanon,NA,0,NA,NA,FRA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Lebanon BIT,"Telecommunications (mobile, GSM)",TEL,"Approximately US$952m, plus interest",952,yes,US$266m,266,n.a.,n.a.,n.a.,n.a.
2004,2005,MDA,n.a.,"Iurii Bogdanov, Agurdino-Invest Ltd & Agurdino-Chimia JSC v. Republic of Moldova",0,3,1,2,RUS,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Moldova-Russian Federation BIT,Manufacturing (paints),MFG,"Not less than Moldovan Lei 621021, plus interest",0.05,yes,"Moldovan Lei 310000, awarded plus interest amounting to Moldovan Lei 384896",0.02,n.a.,n.a.,n.a.,n.a.
2003,2005,NER,CONC/03/1,TG World Petroleum Limited v. Republic of Niger,NA,0,NA,NA,CAN,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID CR,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2005,PAK,ARB/03/3 [see ARB/02/2],Impregilo SpA v. Islamic Republic of Pakistan,0,0,NA,NA,ITA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Pakistan BIT,Electric power concession (hydro),UTL,US$450m plus interest and costs,450,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
unknown,2005,POL,n.a.,Crespo and others v. Poland,NA,3,1,2,ESP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICC,Poland-Spain BIT,unknown,unknown,unknown,unknown,yes,unknown,unknown,no,n.a.,n.a.,n.a.
2004,2005,SVN,ARB/04/17,Interbrew Central European Holding BV v. Republic of Slovenia,NA,2,NA,1,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Slovenia BIT,Brewery,MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,TUR,ARB/04/21,Motorola Credit Corporation Inc. v. Republic of Turkey,1,0,NA,NA,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Turkey-United States BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2005,POL,n.a.,Eureko BV v. Poland,0,3,1,2,NLD,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Netherlands-Poland BIT,Finance (insurance),FIN,unknown,unknown,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
1999,2005,USA,n.a.,Methanex Corp. v. United States of America,0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Manufacturing (MBTE gasoline additive),MFG,US$970m including interest and costs,970,yes,0,0,n.a.,n.a.,n.a.,n.a.
2003,2005,IND,n.a.,Capital India Power Mauritius I & Energy Enterprises (Mauritius) Company v. Government of India,0,3,1,2,MUS,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICC,India-Mauritius BIT,Electric power concession,UTL,Each of the two investors claims approximately US$600m,1200,yes,"US$97.4m, plus interest and all legal costs",97.4,no,n.a.,n.a.,n.a.
2003,2005,DZA,ARB/03/8,Consortium Groupement L.E.S.I. - DIPENTA v. Algeria,0,3,1,2,ITA,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Algeria-Italy BIT,Electric power concession (hydro),UTL,Approximately US$100m,100,yes,0,0,no,n.a.,n.a.,n.a.
2003,2005,KGZ,126/2003,Petrobart v. Kyrgyzstan,0,1,0,0,GIB,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Oil and gas,OIL,US$4084651 plus interest,4.1,yes,"US$1130859, plus interest (each party to pay their own legal fees)",1.1,n.a.,n.a.,n.a.,n.a.
2001,2005,ROM,ARB/01/11,Noble Ventures v. Romania,0,0,NA,NA,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Romania-United States BIT,Steel production,MFG,"US$143531000 plus applicable tax gross-up, interest (compounded from 31 July 2001), and costs",143.5,yes,0,0,no,n.a.,n.a.,n.a.
2003,2005,PER,ARB/03/4,Lucchetti SA & Lucchetti Peru SA v. Republic of Peru,1,2,NA,1,CHL,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Chile-Peru BIT,Manufacturing (pasta),MFG,unknown,unknown,yes,0,0,yes,2005,2007,upheld
2003,2006,ARG,ARB/03/21,"Enersis S.A., Chilectra SA, Empresa Nacional de Electricidad SA, & ELESUR v. Argentine Republic",NA,3,1,2,CHL,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Chile BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2006,ARG,ARB/03/22,Electricidad Argentina SA & EDF International SA v. Argentine Republic,NA,3,1,2,FRA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-France BIT,Electric power concession,UTL,Approximately US$200m,200,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,ARG,ARB/04/18,France Telecom SA v. Argentina Republic,NA,3,1,2,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-France BIT,Telecommunications,TEL,US$300m,300,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,ARG,ARB/04/20,RGA Reinsurance Company v. Argentine Republic,NA,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,United States-Argentina BIT,Finance (reinsurance),FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2006,BGR,n.a.,Zeevi Holdings v Bulgaria and The Privatization Agency of Bulgaria,NA,0,NA,NA,ISR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Aviation,SER,Over US$50m,50,yes,US$23150000 (legal costs to be split by the parties),23,n.a.,n.a.,n.a.,n.a.
2002,2006,BOL,ARB/02/3,Aguas del Tunari SA v. Republic of Bolivia,NA,3,1,2,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Bolivia-Netherlands BIT,Water and sewage concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,IND,n.a.,ABN Amro NV v. India,NA,3,1,2,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-Netherlands BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2006,MEX,n.a.,"Adams, et al v. United Mexican States",0,1,0,0,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,Tourism,SER,Approximately US$75m,75,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,MNG,ARB/04/10,Alstom Power Italia SpA and Alstom SpA v. Republic of Mongolia,NA,0,NA,NA,ITA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Italy-Mongolia BIT, Energy Charter Treaty",Electric power concession (thermal),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2006,TGO,CONC/05/1,Togo Electricite v. Republic of Togo,NA,0,NA,NA,FRA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID CR,OHADA Treaty,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,UKR,ARB/04/2,Western NIS Enterprise Fund v. Ukraine,0,0,NA,NA,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ukraine-United States BIT,Manufacturing (sunflower oil),MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2006,USA,n.a.,"Tembec Inc., et al v. United States of America (consolidated into ""Softwood Lumber Consolidated Proceeding"" 2005)",NA,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (forestry),AGR,Not less than US$200m,200,yes,0,0,n.a.,n.a.,n.a.,n.a.
2005,2006,YUG,IIC 345,Mytilineos Holdings SA v. Serbia & Montenegro and Serbia,0,-999,NA,NA,GRC,state,0,,NA,n.a.,n.a.,n.a.,n.a.,PCA,Greece-Yugoslavia BIT,Mining,MIN,Approximately US$25m,25,yes,0,0,n.a.,n.a.,n.a.,n.a.
2001,2006,CZE,n.a.,Saluka Investments BV (The Netherlands) & Nomura (Japan) v. Czech Republic,0,3,1,2,NLD,investor,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Czech Republic-Netherlands BIT,Banking,FIN,Approximately US$1b,1000,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2002,2006,MEX,n.a.,International Thunderbird Gaming Corporation v. United Mexican States,0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Gaming,SER,Not less than US$100m,100,yes,0,0,n.a.,n.a.,n.a.,n.a.
2000,2006,KEN,ARB/00/7,World Duty Free Company Limited v. Republic of Kenya,0,0,NA,NA,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Duty free concession,SER,Approximately US$500m,500,yes,0,0,no,n.a.,n.a.,n.a.
2001,2006,ARG,ARB/01/8,CMS Gas Transmission Company v. Argentina,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Oil and gas (distribution),OIL,US$261.1m (or US$243.6m and shares) plus interest,261.1,yes,"US$135.3m, plus interest (each party to pay their legal fees and split arbitration costs)",135.3,yes,2005,2007,partially overturned
2001,2006,ARG,ARB/01/12,Azurix v. Argentina (1st case),0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Water and sewage concession,UTL,US$685m plus interest,685,yes,"US$165.2m, plus interest (each party to pay their legal costs, Respondent pay arbitration costs except for Claimant's share of US$34496)",165.2,yes,2006,2009,upheld
2003,2006,ECU,UN3481,Encana v. Ecuador,0,-999,NA,NA,CAN,state,0,,NA,n.a.,n.a.,n.a.,n.a.,LCIA,Canada-Ecuador BIT,Oil and gas (exploration),OIL,Approximately CAD100 million,70,yes,Respondent to pay Claimant sums it has deposit with the LCIA in connection with the costs of the arbitration (in the amount of US$330267.44). Each party shall bear its own legal costs.,0,n.a.,n.a.,n.a.,n.a.
2002,2006,EGY,ARB/02/9,"Champion Trading Company and Ameritrade International, Inc. v. Arab Republic of Egypt",0,0,NA,NA,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,US-Egypt BIT,Agricultural enterprise (cotton),AGR,US$365m plus interest and costs,365,yes,0,0,no,n.a.,n.a.,n.a.
2004,2006,HUN,ARB/04/15,Telenor Mobile Communications AS v. Republic of Hungary,0,3,1,2,NOR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Hungary-Norway BIT,Telecommunications (fixed and mobile),TEL,Between approximately US$76m and US$152m,76,yes,0,0,no,n.a.,n.a.,n.a.
2002,2006,JOR,ARB/02/13,Salini Costruttori S.p.A. & Italstrade S.p.A. v. Hashemite Kingdom of Jordan,0,0,NA,NA,ITA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Jordan BIT,Electric power concession (hydro),UTL,Approximately US$28m,28,yes,0,0,no,n.a.,n.a.,n.a.
2002,2006,MEX,ARB(AF)/02/1,Fireman's Fund Insurance Company v. United Mexican States,0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Finance (debt instruments),FIN,US$50m,50,yes,0,0,no,n.a.,n.a.,n.a.
2004,2006,RUS,080/2004,Vladimir Berschader and Michael Berschader v. Russian Federation,0,0,NA,NA,BELLUX,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Belgium & Luxembourg-USSR BIT,Real estate (court facilities),RE,US$13287147 plus interest,13,yes,0,0,n.a.,n.a.,n.a.,n.a.
2003,2006,SLV,ARB/03/26,Inceysa Vallisoletana S.L. v. Republic of El Salvador,0,1,0,0,ESP,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,El Salvador-Spain BIT,Vehicle inspection facilities,SER,Not less than US$120m,120,yes,0,0,no,n.a.,n.a.,n.a.
2001,2006,TTO,ARB/01/14,"F-W Oil Interests, Inc. v. Republic of Trinidad & Tobago",0,1,0,0,USA,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Trinidad and Tobago-United States BIT,Oil and gas,OIL,Over US$200m,200,yes,0,0,no,n.a.,n.a.,n.a.
2003,2006,HUN,ARB/03/16,ADC Affiliate Limited and ADC & ADMC Management Limited v. Republic of Hungary,1,3,1,2,CYP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Cyprus-Hungary BIT,Airport,SER,US$244373347 (Note: includes interest up to award),244.4,yes,US$82.6,82.6,no,n.a.,n.a.,n.a.
2002,2007,ARE,ARB/02/7,Hussein Nauman Soufraki v. United Arab Emirates,NA,0,NA,NA,ITA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-United Arab Emirates BIT,Port terminal concession,SER,Between US$580m and US$2.5b,580,yes,0,0,yes,2004,2005,upheld
2003,2007,ARG,n.a.,British Gas (BG) Group Plc v Argentine Republic,0,3,1,2,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Oil and gas,OIL,US$238.1m,238.1,yes,"US$185285485.85, plus interest and arbitration costs",185.3,n.a.,n.a.,n.a.,n.a.
2003,2007,ARG,ARB/03/18,"Aguas Cordobesas SA, Suez, and Sociedad General de Aguas de Barcelona SA v. Argentine Republic",NA,3,1,2,FRA,settlement,1,,0,ESP,n.a.,n.a.,n.a.,ICSID,"Argentina-Spain BIT, Argentina-France BIT",Water services concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2007,ARG,ARB/03/7,Camuzzi International S.A. v. Argentine Republic,0,3,1,2,BELLUX,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Belgium & Luxembourg-Argentina BIT, US-Argentina BIT",Electric power concession,UTL,US$245m,245,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2007,ARG,ARB/03/2,Camuzzi International SA v. Argentine Republic,NA,n.a.,NA,NA,BELLUX,pending,NA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Belgium & Luxembourg BIT,Oil and gas,OIL,US$337m,337,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2007,EGY,ARB/02/15,"Ahmonseto Inc., et al v. Arab Republic of Egypt",0,0,NA,NA,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United States BIT,Textile enterprise,MFG,US$250m,250,yes,unknown,unknown,yes,2007,2010,discontinued
2006,2007,EST,ARB/06/6,"Rail World LLC, et al v. Republic of Estonia",NA,0,NA,NA,NLD,settlement,1,,0,USA,n.a.,n.a.,n.a.,ICSID,"Estonia-Netherlands BIT, Estonia-United States BIT",Transportation (rail),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2007,FRA,IIC 58,Eurotunnel Group v. France & United Kingdom,NA,1,0,0,FRA,investor,0,,0,GBR,n.a.,n.a.,n.a.,PCA,Treaty of Canterbury,Transportation (rail),UTL,US$1b,1000,yes,unknown,unknown,no,n.a.,n.a.,n.a.
2002,2007,MEX,n.a.,Robert J. Frank v. United Mexican States,1,1,0,0,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Tourism,SER,US$1.5m,1.5,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2007,NIC,ARB/06/14,Shell Brands International AG & Shell Nicaragua SA v. Republic of Nicaragua,0,3,1,2,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Nicaragua BIT,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2007,USA,n.a.,Kenex Ltd. v. United States of America,0,1,0,0,CAN,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (hemp),AGR,Not less than US$20m,20,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2007,USA,n.a.,"Terminal Forest Products Ltd. v. United States of America (consolidated ""Softwood Lumber Consolidated Proceeding"" 2005)",0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (forestry),AGR,Not less than US$90m,90,yes,0,0,n.a.,n.a.,n.a.,n.a.
2006,2007,UZB,ARB/06/20,Newmont USA Limited & Newmont (Uzbekistan) Limited v. Republic of Uzbekistan,NA,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Uzbekistan Investment Law (1998),Mining (gold),MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2007,VNM,n.a.,Trinh Vinh Binh & Binh Chau Joint Stock Company v. Socialist Republic of Viet Nam,1,3,1,2,NLD,settlement,1,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Netherlands-Vietnam BIT,Manufacturing (frozen food),MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2007,ZAR,ARB/03/14,"Miminco LLC, et al v. Democratic Republic of the Congo",NA,0,NA,NA,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Congo (Democratic Republic of)-United States BIT,Mining (diamond),MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2007,USA,n.a.,"Canfor Corporation v. United States (consolidated into ""Softwood Lumber Consolidated Proceeding"" 2005)",0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (forestry),AGR,Not less than US$250m,250,yes,0,0,n.a.,n.a.,n.a.,n.a.
2000,2007,CAN,n.a.,United Parcel Service of America Inc. v. Canada,0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Postal services,SER,Not less than US$160m,160,yes,0,0,n.a.,n.a.,n.a.,n.a.
2007,2007,ALB,ARB/07/21,Pantechniki SA Contractors & Engineers v. Republic of Albania,0,1,0,0,GRC,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Albania-Greece BIT, Albania Investment Law (1993)",Highway and bridge construction project,UTL,At least US$1.8m,1.8,yes,0,0,no,n.a.,n.a.,n.a.
1997,2007,ARG,ARB/97/3,Compania de Aguas del Aconquija S.A. and Vivendi Universal v. Argentine Republic,0,3,1,2,FRA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Argentina-France BIT, Contract",Water and sewage concession,UTL,US$316m plus interest,316,yes,"US$105m, no legal fees specified",105,yes,2001,2010,upheld
2002,2007,ARG,ARB/02/8,Siemens AG v. Argentine Republic,0,3,1,2,DEU,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Germany BIT,Software,SER,US$462477071,462.5,yes,"US$237.8m, plus interest (each party to pay their legal costs, respondent to pay 75% of arbitration)",237.8,yes,2007,2009,discontinued
